-3.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
-2.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
-1.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
0.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
1.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
2.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
3.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
4.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
5.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
6.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
7.0	[27.891632125256027, 22.16911589170796, 33.91848696430268, 43.55448333756402, 52.38080821543241, 58.715968126966956, 60.12764455088032, 61.73291963451467, 64.34225620337843, 61.52800333656066, 59.21260823450666]	
