-3.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
-2.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
-1.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
0.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
0.2	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
0.6	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
0.8	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
1.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
1.2	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
1.4	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
1.6	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
1.8	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
2.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
3.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
4.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
5.0	[58.94207998871632, 54.15350758970641, 42.170120603444275, 57.49285952255189, 60.842216273657215, 70.78702292201676, 73.62773340467977, 74.54671700253213, 75.22717650430738, 74.02955191330382, 71.10020881676257, 65.68777626067718, 61.82459667801613, 58.04242171623686, 50.01319876703217, 49.778650424633184]	
